"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","hidden_size","learning_rate","num_epochs","num_layers","Training loss (average)","val_loss"
"cerulean-sweep-44","q2qkoxor","cerulean-sweep-44","finished","-","lgblkb","","2020-05-06T16:33:43.000Z","134","50gn5vbb","20000","118","0.015421373658393325","43","10","0.003960808418923989","0.0035826805979013443"
"misunderstood-sweep-32","5xht7pvx","misunderstood-sweep-32","finished","-","lgblkb","","2020-05-06T16:12:31.000Z","103","50gn5vbb","20000","128","0.004587557770791345","33","9","0.003665305732283741","0.0036521314177662134"
"azure-sweep-22","ufndygdj","azure-sweep-22","finished","-","lgblkb","","2020-05-06T15:57:59.000Z","77","50gn5vbb","20000","133","0.01417767992465108","23","10","0.003609996201703325","0.003680252237245441"
"ancient-sweep-78","a6zpd6yu","ancient-sweep-78","finished","-","lgblkb","","2020-05-06T17:26:07.000Z","90","50gn5vbb","20000","114","0.01605616642307493","28","4","0.004230440914398059","0.003777861827984452"
"graceful-sweep-69","whf7fke7","graceful-sweep-69","finished","-","lgblkb","","2020-05-06T17:12:36.000Z","111","50gn5vbb","20000","138","0.002544770063421551","35","10","0.003824117651674897","0.0038487929850816727"
"jumping-sweep-27","8m1p5yoi","jumping-sweep-27","finished","-","lgblkb","","2020-05-06T16:05:14.000Z","64","50gn5vbb","20000","27","0.009468085206114548","21","3","0.004093068069778383","0.0039423019625246525"
"glorious-sweep-75","zl590697","glorious-sweep-75","finished","-","lgblkb","","2020-05-06T17:21:26.000Z","53","50gn5vbb","20000","132","0.010022040246998418","42","5","0.004203613614663482","0.00417400011792779"
"olive-sweep-55","ml24yuo3","olive-sweep-55","finished","-","lgblkb","","2020-05-06T16:49:13.000Z","63","50gn5vbb","20000","128","0.009213625946342357","22","9","0.004286467912606895","0.004210302606225014"
"proud-sweep-81","kjeps95l","proud-sweep-81","finished","-","lgblkb","","2020-05-06T17:32:14.000Z","68","50gn5vbb","20000","118","0.016034548971229662","45","4","0.0042887741583399475","0.004258438944816589"
"desert-sweep-29","v9adt2dv","desert-sweep-29","finished","-","lgblkb","","2020-05-06T16:07:17.000Z","59","50gn5vbb","20000","155","0.009809896512360037","30","10","0.004363151150755584","0.004306266084313393"
"wise-sweep-73","wcdeo3ni","wise-sweep-73","finished","-","lgblkb","","2020-05-06T17:18:19.000Z","59","50gn5vbb","20000","98","0.010928838720296943","34","7","0.0043401477742008865","0.0043229004368186"
"fine-sweep-4","o6a05enb","fine-sweep-4","finished","-","lgblkb","","2020-05-06T15:51:13.000Z","46","50gn5vbb","20000","12","0.002654078856842286","12","2","0.004447775601875037","0.004323813132941723"
"deft-sweep-72","ctdhj4x5","deft-sweep-72","finished","-","lgblkb","","2020-05-06T17:17:18.000Z","65","50gn5vbb","20000","145","0.014433575718992796","49","6","0.004449698317330331","0.004338966682553291"
"resilient-sweep-28","rbl9ckga","resilient-sweep-28","finished","-","lgblkb","","2020-05-06T16:06:16.000Z","64","50gn5vbb","20000","167","0.024129609346329375","36","10","0.00444460375001654","0.004376464523375034"
"fallen-sweep-66","gvq1vu8i","fallen-sweep-66","finished","-","lgblkb","","2020-05-06T17:07:23.000Z","53","50gn5vbb","20000","103","0.0038689372055349","41","5","0.004448061343282461","0.0043817306868731976"
"sandy-sweep-86","ycp39n6h","sandy-sweep-86","finished","-","lgblkb","","2020-05-06T17:37:24.000Z","74","50gn5vbb","20000","117","0.01724147414822148","23","6","0.004452293622307479","0.004384397994726896"
"dainty-sweep-59","xuntarsp","dainty-sweep-59","finished","-","lgblkb","","2020-05-06T16:56:06.000Z","83","50gn5vbb","20000","161","0.040242879398057194","25","5","0.004428904037922621","0.004396941512823105"
"earthy-sweep-34","rqh3o9g0","earthy-sweep-34","finished","-","lgblkb","","2020-05-06T16:16:23.000Z","118","50gn5vbb","20000","141","0.017438453375957955","38","10","0.004442626552190632","0.004413921851664782"
"avid-sweep-88","97canq1q","avid-sweep-88","finished","-","lgblkb","","2020-05-06T17:40:16.000Z","104","50gn5vbb","20000","107","0.019074363087053754","32","5","0.004430950153619051","0.004423188045620918"
"toasty-sweep-49","8vmpgg7q","toasty-sweep-49","finished","-","lgblkb","","2020-05-06T16:41:20.000Z","63","50gn5vbb","20000","123","0.005553339072945863","39","7","0.004454338806681335","0.0044267624616622925"
"happy-sweep-9","nv1zvpwv","happy-sweep-9","finished","-","lgblkb","","2020-05-06T15:52:18.000Z","73","50gn5vbb","20000","29","0.005162795129292169","22","2","0.004433878697454929","0.004431474953889847"
"sleek-sweep-42","3188oawx","sleek-sweep-42","finished","-","lgblkb","","2020-05-06T16:29:57.000Z","113","50gn5vbb","20000","165","0.019063979160409576","36","8","0.004451583663467318","0.004433481954038143"
"wise-sweep-71","vlgwo3jd","wise-sweep-71","finished","-","lgblkb","","2020-05-06T17:16:17.000Z","64","50gn5vbb","20000","132","0.02029766748417755","33","6","0.004403652041219175","0.004437585361301899"
"fancy-sweep-24","eqmr4ud9","fancy-sweep-24","finished","-","lgblkb","","2020-05-06T16:01:17.000Z","92","50gn5vbb","20000","150","0.017926031642739385","28","9","0.004443782090675086","0.004439735319465399"
"stellar-sweep-85","w24j4yqj","stellar-sweep-85","finished","-","lgblkb","","2020-05-06T17:36:22.000Z","64","50gn5vbb","20000","108","0.004005590575698723","41","2","0.004438396077603102","0.004442153498530388"
"firm-sweep-70","d4fmmp7v","firm-sweep-70","finished","-","lgblkb","","2020-05-06T17:14:32.000Z","107","50gn5vbb","20000","102","0.005638652106051871","50","4","0.004430216737091541","0.004442958161234856"
"light-sweep-84","8z05w9jl","light-sweep-84","finished","-","lgblkb","","2020-05-06T17:35:21.000Z","64","50gn5vbb","20000","77","0.023395383384541068","21","7","0.004430139786563814","0.004443973768502474"
"vivid-sweep-57","m6f22ojk","vivid-sweep-57","finished","-","lgblkb","","2020-05-06T16:52:36.000Z","47","50gn5vbb","20000","153","0.021932540916170213","13","7","0.004455231479369104","0.004446433391422033"
"divine-sweep-2","4cu4gkqt","divine-sweep-2","finished","-","lgblkb","","2020-05-06T15:47:25.000Z","154","50gn5vbb","20000","18","0.04719470005128392","49","8","0.004433830617927015","0.004451754968613386"
"sandy-sweep-43","2r6jf7bw","sandy-sweep-43","finished","-","lgblkb","","2020-05-06T16:32:00.000Z","96","50gn5vbb","20000","99","0.02564836311713331","30","8","0.004451620974577963","0.00446103373542428"
"denim-sweep-46","2ujqig0e","denim-sweep-46","finished","-","lgblkb","","2020-05-06T16:36:16.000Z","66","50gn5vbb","20000","149","0.019477284899488773","19","9","0.0044279153808020055","0.004465222358703613"
"solar-sweep-62","b1bsayyz","solar-sweep-62","finished","-","lgblkb","","2020-05-06T16:59:52.000Z","85","50gn5vbb","20000","104","0.020324421798732777","42","6","0.004447222803719342","0.004466723185032606"
"ethereal-sweep-1","3ap3uwjm","ethereal-sweep-1","finished","-","lgblkb","","2020-05-06T15:44:36.000Z","126","50gn5vbb","20000","137","0.04439539232345743","40","9","0.0044509959989227355","0.004470421001315117"
"tough-sweep-87","bbpawh6m","tough-sweep-87","finished","-","lgblkb","","2020-05-06T17:38:36.000Z","91","50gn5vbb","20000","196","0.029309415075717275","28","9","0.004448744002729654","0.004485599230974913"
"charmed-sweep-56","06w08umi","charmed-sweep-56","finished","-","lgblkb","","2020-05-06T16:50:14.000Z","135","50gn5vbb","20000","91","0.0747140536260492","45","10","0.00443243863992393","0.004491773433983326"
"generous-sweep-83","mgc8jy92","generous-sweep-83","finished","-","lgblkb","","2020-05-06T17:34:20.000Z","63","50gn5vbb","20000","94","0.004362369549107964","34","4","0.004435604379978031","0.004492913372814655"
"glamorous-sweep-82","n9rg4l27","glamorous-sweep-82","finished","-","lgblkb","","2020-05-06T17:33:19.000Z","63","50gn5vbb","20000","110","0.02631549788917875","41","4","0.00445253710495308","0.004506170749664307"
"dazzling-sweep-48","sg99f3ld","dazzling-sweep-48","finished","-","lgblkb","","2020-05-06T16:39:24.000Z","118","50gn5vbb","20000","131","0.01808807961988036","38","9","0.004595095000695437","0.004556715954095125"
"summer-sweep-38","09nkzytw","summer-sweep-38","finished","-","lgblkb","","2020-05-06T16:23:25.000Z","55","50gn5vbb","20000","150","0.004887854550607905","43","9","0.004442333069164306","0.004616000223904848"
"good-sweep-20","x3dgeakx","good-sweep-20","finished","-","lgblkb","","2020-05-06T15:55:38.000Z","25","50gn5vbb","20000","30","0.02689903474448003","5","4","0.00486574019305408","0.0046400572173297405"
